NAME                                      TYPE        CLUSTER-IP      EXTERNAL-IP   PORT(S)                      AGE
argocd-applicationset-controller          ClusterIP   10.96.41.139    <none>        7000/TCP,8080/TCP            2d15h
argocd-dex-server                         ClusterIP   10.96.28.221    <none>        5556/TCP,5557/TCP,5558/TCP   2d15h
argocd-metrics                            ClusterIP   10.96.44.244    <none>        8082/TCP                     2d15h
argocd-notifications-controller-metrics   ClusterIP   10.96.5.106     <none>        9001/TCP                     2d15h
argocd-redis                              ClusterIP   10.96.156.112   <none>        6379/TCP                     2d15h
argocd-repo-server                        ClusterIP   10.96.187.88    <none>        8081/TCP,8084/TCP            2d15h
argocd-server                             ClusterIP   10.96.63.112    <none>        80/TCP,443/TCP               2d15h
argocd-server-metrics                     ClusterIP   10.96.46.194    <none>        8083/TCP                     2d15h
